airport,all_airports,state,country,city,type,iata_code,city_code,longitude,latitude,time_zone,gmt_offset,mileage_region,region
Redmond/Bend Roberts Field,N,OR,United States,Redmond,airport,RDM,RDM,-121.15,44.2541667,America/Los_Angeles,GMT-8:00,Canada & Continental USA,US
Redding Municipal,N,CA,United States,Redding,airport,RDD,RDD,-122.29333,40.5088889,America/Los_Angeles,GMT-8:00,Canada & Continental USA,US
Red Sucker Lake,N,MB,Canada,Red Sucker Lake,airport,YRS,YRS,-93.551667,54.1666667,America/Rainy_River,GMT-6:00,Canada & Continental USA,US
Red Lake,N,ON,Canada,Red Lake,airport,YRL,YRL,-93.793056,51.0669444,America/Rainy_River,GMT-6:00,Canada & Continental USA,US
Red Dog,N,AK,United States,Red Dog,airport,RDB,RDB,-162.90861,68.0283333,America/Anchorage,GMT-9:00,Canada & Continental USA,US
Red Devil,N,AK,United States,Red Devil,airport,RDV,RDV,-157.34528,61.7869444,America/Anchorage,GMT-9:00,Canada & Continental USA,US
Red Deer Regional,N,AB,Canada,Red Deer,airport,YQF,YQF,-113.89444,52.1822222,America/Edmonton,GMT-7:00,Canada & Continental USA,US
Reconquista,N,,Argentina,Reconquista,airport,RCQ,RCQ,-59.690833,-29.210556,America/Argentina/Buenos_Aires,GMT-3:00,Southern South America,SA
Recife Guararapes International,N,,Brazil,Recife,airport,REC,REC,-34.923056,-8.1266667,America/Belem,GMT-3:00,Southern South America,SA
Reao,N,,French Polynesia,Reao,airport,REA,REA,-136.43944,-18.466111,Pacific/Tahiti,GMT-10:00,Australia New Zealand & South Pacific,AU
Ravensthorpe,N,,Australia,Ravensthorpe,airport,RVT,RVT,120.210278,-33.797222,Australia/Perth,GMT+8:00,Australia New Zealand & South Pacific,AU
Rasht Sandra-e-Jangal,N,,Iran,Rasht,airport,RAS,RAS,49.6177778,37.3233333,Asia/Tehran,GMT+3:30,Middle East & North Africa,ME
Ras al Khaimah International,N,,United Arab Emirates,Ras al Khaimah,airport,RKT,RKT,55.9388889,25.6136111,Asia/Dubai,GMT+4:00,Middle East & North Africa,ME
Ras al Khaimah Al Hamra SPB,N,,United Arab Emirates,Ras al Khaimah,airport,RHR,RKT,55.7777778,25.6905556,Asia/Dubai,GMT+4:00,Middle East & North Africa,ME
Rarotonga Island,N,,Cook Islands,Rarotonga,airport,RAR,RAR,-159.79833,-21.202778,Pacific/Rarotonga,GMT-10:00,Australia New Zealand & South Pacific,AU
Raroia,N,,French Polynesia,Raroia,airport,RRR,RRR,-142.47694,-16045,Pacific/Tahiti,GMT-10:00,Australia New Zealand & South Pacific,AU
Rapid City Regional,N,SD,United States,Rapid City,airport,RAP,RAP,-103.05694,44.0430556,America/Denver,GMT-7:00,Canada & Continental USA,US
Ranong,N,,Thailand,Ranong,airport,UNN,UNN,98.5855556,9.7775,Asia/Bangkok,GMT+7:00,Asia 1,AS
Rankin Inlet,N,NU,Canada,Rankin Inlet,airport,YRT,YRT,-92.115833,62.8113889,America/Rainy_River,GMT-6:00,Canada & Continental USA,US
Rangiroa Island,N,,French Polynesia,Rangiroa Island,airport,RGI,RGI,-147.66083,-14.954167,Pacific/Tahiti,GMT-10:00,Australia New Zealand & South Pacific,AU
Ranchi Birsa Munda,N,,India,Ranchi,airport,IXR,IXR,85.3216667,23.3141667,Asia/Kolkata,GMT+5:30,Indian Subcontinent,IN
Ramsar,N,,Iran,Ramsar,airport,RZR,RZR,50.68,36.9091667,Asia/Tehran,GMT+3:30,Middle East & North Africa,ME
Rampart,N,AK,United States,Rampart,airport,RMP,RMP,-150.14194,65.5080556,America/Anchorage,GMT-9:00,Canada & Continental USA,US
Ramata Island,N,,Solomon Islands,Ramata,airport,RBV,RBV,157.641944,-8.1677778,Pacific/Guadalcanal,GMT+11:00,Australia New Zealand & South Pacific,AU
